category,hotel,value,name
service,93338,3.8,Hotel Beacon
service,1762573,4.5,Andaz 5th Avenue
service,1776857,4.7,The Setai Fifth Avenue - a Capella managed Hotel
service,1641016,4.7,The Chatwal
service,1456560,4.6,Eventi - a Kimpton Hotel
service,93396,4.4,The Iroquois
service,80112,3.6,San Carlos Hotel
service,93559,3.1,The Sherry-Netherland Hotel
service,239853,3.7,BEST WESTERN PLUS Downtown Inn & Suites Houston
service,282699,4.3,Hilton Americas - Houston
service,1158926,4.6,Hilton Garden Inn Houston Energy Corridor
service,107956,4.5,Extended Stay America - Houston - Northwest
service,98952,3.5,Four Seasons Hotel Houston
service,283873,4.3,Hotel Icon - Autograph Collection
service,1200103,4.2,Hotel Sorella CITYCENTRE
service,108038,2.5,Hilton University of Houston
service,1966350,4.2,The Westin Houston Memorial City
service,107915,4.6,Drury Inn & Suites Houston Near The Galleria
service,99081,3.0,Crowne Plaza Houston - Brookhollow
service,1218737,4.7,La Quinta Inn & Suites Houston - Normandy
service,99060,3.6,Omni Houston Hotel
service,1866401,4.7,Holiday Inn Hotel-Houston Westchase
service,665163,4.3,Courtyard by Marriott Houston by the Galleria
service,1630591,4.8,Crowne Plaza
service,559491,4.0,Holiday Inn Express Houston East
service,266158,3.8,Super 8 Houston/Hobby Airport/I-45
service,240436,3.2,Carefree Inn Medical Center
service,108057,3.1,Residence Inn Houston Clear Lake
service,1236706,4.0,Super 8 Houston Hobby Airport South
service,98920,3.0,Houston Marriott Westchase
service,258636,4.2,Alden-Houston
service,223137,3.4,La Quinta Inn Houston Northwest
service,223151,3.6,Hampton Inn and Suites Houston Medical Center - Reliant Park
service,107924,3.8,Courtyard by Marriott Houston Westchase
service,99114,2.7,Westin Galleria Houston Hotel
service,111618,3.3,Renaissance Houston Hotel Greenway Plaza
service,108149,4.2,Drury Inn & Suites Houston Hobby
service,223164,3.8,Homewood Suites by Hilton Houston - Clear Lake
service,223154,3.1,Hampton Inn Houston - Near The Galleria
service,107834,3.1,Hyatt Place Houston/Greenspoint/IAH Airport
service,1773009,4.2,Holiday Inn Express Hotel & Suites Houston NW-Beltway 8-West Road
service,223158,2.6,Quality Inn & Suites West Chase
service,108054,4.0,TownePlace Suites Houston Clear Lake
service,258634,3.0,Scottish Inn & Suites Reliant Park/Six Flags
service,107863,2.3,Extended Stay America - Houston - Westchase - Westheimer
service,98987,3.5,Marriott Houston Airport at George Bush Intercontinental
service,585164,4.1,Residence Inn Houston West/Energy Corridor
service,99067,4.5,Four Points by Sheraton Houston - Memorial City
service,108148,4.0,Holiday Inn Houston Intercontinental Airport
service,242394,3.9,Royal Sonesta Hotel Houston
service,99106,3.2,La Quinta Inn Houston Medical / Reliant Center
service,142023,4.0,Ramada Houston Intercontinental Airport South
service,99004,4.6,Americas Best Value Inn-Texas Medical Center/Reliant Park
service,650546,3.4,Symphony Inn & Suites
service,2712053,5.0,Staybridge Suites Houston Iah - Beltway 8
service,256702,2.2,Sun Suites Of Westchase
service,256700,2.8,Sun Suites of Hobby / Clearlake
service,815515,4.5,Scottish Inns & Suites - Willowbrook
service,596014,4.7,Staybridge Suites Houston West / Energy Corridor
service,99101,2.9,Sheraton North Houston at George Bush Intercontinental
service,223179,2.5,Holiday Inn Express Hotel & Suites Houston Hwy 59S/Hillcroft
service,223149,3.2,Hampton Inn Houston Hobby Airport
service,223160,1.8,Days Inn And Suites Houston IAH Airport
service,223141,4.4,Comfort Suites Westchase
service,108150,2.6,Courtyard by Marriott Houston Hobby Airport
service,108020,3.5,BEST WESTERN Heritage Inn
service,98989,4.1,DoubleTree by Hilton Houston Hobby Airport
service,99132,4.2,Hilton Houston Westchase
service,223148,3.3,Baymont Inn & Suites Houston
service,595438,4.1,Extended Stay America - Houston - Katy Freeway - Energy Corridor
service,98964,3.7,Holiday Inn Houston Hobby Airport
service,1514581,4.1,Park Inn by Radisson - Houston North
service,107884,1.9,Americas Best Value Inn & Suites - Houston/Northwest
service,1155392,4.1,Athens Hotel Suites
service,266326,2.8,Super 8 Houston/Downtown/I-610
service,1636050,4.1,Americas Best Value Inn - Medical Center North
service,258635,3.5,Sun Suites Of Greenspoint
service,558146,4.2,Star Inn & Suites
service,486939,4.4,Hampton Inn & Suites Houston-Westchase
service,1627951,4.0,Travelodge Houston
service,1160746,4.0,La Quinta Inn Houston Wirt Road
service,107903,1.6,Howard Johnson Express Inn - Houston
service,223156,3.0,Comfort Inn Houston
service,488773,5.0,Airport Inn And Suites
service,108136,5.0,Best Value Inn & Suites Houston
service,277895,2.4,Howard Johnson Clearlake
service,107802,3.6,Econo Lodge
service,98940,1.3,Houston Inn and Suites
service,223178,3.0,Holiday Inn Express & Suites Houston North Intercontinental
service,98962,2.7,Holiday Inn Houston Near The Galleria
service,239859,2.5,Studio 6 Houston Northwest
service,226728,4.2,Interstate Motor Lodge
service,1146185,5.0,Value Place Conroe
service,107846,0.0,Montecito Apartment Suites
service,99013,3.3,Baymont Inn Houston Hobby Airport
service,98976,0.5,Hotel Preet Northwest
service,596446,5.0,Texan Inn & Suites
service,266125,1.6,Hobby Inn and Suites
service,142353,2.4,Econo Lodge Medical Center
service,107713,2.5,Ramada Houston Southwest
service,226721,2.4,Studio 6 Houston - Westchase
service,122746,4.0,Londale Hotel
service,223135,2.7,Travelodge Houston - Intercontinental
service,107769,3.2,Fairfield Inn & Suites Houston I-45 North
service,217745,4.0,Extended Stay America - Houston - Med. Ctr. - Reliant Pk. - Fannin St.
service,107757,3.0,Americas Best Value Inn & Suites - Bush Int'l Airport Wes
service,223184,1.3,InTown Suites Highway 290
service,223183,1.3,InTown Suites Houston Northwest / Cy-Fair (XHW) - Houston
service,239858,2.5,Studio 6 Houston-Hobby
service,239355,1.7,Super 8 Houston/I-10/Federal Road
