city,category,hotel_1,value_1,name_1,hotel_2,value_2,name_2,hotel_3,value_3,name_3,hotel_4,value_4,name_4
New York City,service,662519,5.0,JC's New York Hotel,616887,5.0,New York Escape,1872507,5.0,Thompson Hotel,1165409,5.0,Hotel Delmonico
New York City,cleanliness,1161809,5.0,The Helmsley Windsor,1049347,5.0,The Melrose Hotel,235236,5.0,Oakwood Cosmopolitan,3506933,5.0,Howard Johnson Manhattan Soho
New York City,overall,268217,5.0,Oakwood at 777 6th Avenue,1872507,5.0,Thompson Hotel,1165409,5.0,Hotel Delmonico,80092,4.8,Inn New York City
New York City,value,662519,5.0,JC's New York Hotel,2622936,4.7,Wyndham Garden Chinatown,1415127,4.6,The French Quarters Guest Apartments,1845644,4.6,Courtyard New York Manhattan/Soho
New York City,location,1175436,5.0,Hotel Olcott,1161809,5.0,The Helmsley Windsor,662519,5.0,JC's New York Hotel,268218,5.0,Oakwood at Longacre House
New York City,sleep_quality,1161809,5.0,The Helmsley Windsor,1872507,5.0,Thompson Hotel,1165409,5.0,Hotel Delmonico,2622936,5.0,Wyndham Garden Chinatown
New York City,rooms,616887,5.0,New York Escape,1872507,5.0,Thompson Hotel,1165409,5.0,Hotel Delmonico,1572980,4.8,Crosby Street Hotel
Houston,service,3191802,5.0,Residence Inn Houston I-10 West,217744,5.0,Extended Stay America - Houston - Willowbrook,1158744,5.0,Candlewoods Suites Medical Center,3393901,5.0,Hilton Garden Inn Houston NW America Plaza
Houston,cleanliness,3191802,5.0,Residence Inn Houston I-10 West,217744,5.0,Extended Stay America - Houston - Willowbrook,1158744,5.0,Candlewoods Suites Medical Center,3393901,5.0,Hilton Garden Inn Houston NW America Plaza
Houston,overall,3191802,5.0,Residence Inn Houston I-10 West,1158744,5.0,Candlewoods Suites Medical Center,3393901,5.0,Hilton Garden Inn Houston NW America Plaza,1889985,5.0,Palace Inn and Suites - Willowbrook
Houston,value,1158744,5.0,Candlewoods Suites Medical Center,3393901,5.0,Hilton Garden Inn Houston NW America Plaza,1889985,5.0,Palace Inn and Suites - Willowbrook,2160816,5.0,Woodland Inn & Suites
Houston,location,3393901,5.0,Hilton Garden Inn Houston NW America Plaza,1889985,5.0,Palace Inn and Suites - Willowbrook,2160816,5.0,Woodland Inn & Suites,1858908,5.0,Americas Best Value Inn & Suites-Houston/FM 249
Houston,sleep_quality,1158744,5.0,Candlewoods Suites Medical Center,2160816,5.0,Woodland Inn & Suites,1971740,5.0,Grand Inn & Suites,570092,5.0,Scottish Inns & Suites Houston - Hwy 6 South
Houston,rooms,3191802,5.0,Residence Inn Houston I-10 West,1237172,5.0,Candlewood Suites Houston NW - Willowbrook,3393901,5.0,Hilton Garden Inn Houston NW America Plaza,1889985,5.0,Palace Inn and Suites - Willowbrook
Los Angeles,service,84441,5.0,Economy Inn Motel,81763,5.0,All Star Inn,271600,5.0,Crescent Motel,249693,4.8,The Brentwood Inn
Los Angeles,cleanliness,84441,5.0,Economy Inn Motel,81763,5.0,All Star Inn,271600,5.0,Crescent Motel,249693,4.8,The Brentwood Inn
Los Angeles,overall,3337599,5.0,Horizon Inn Motel,84441,5.0,Economy Inn Motel,1858565,4.6,The Redbury,249693,4.6,The Brentwood Inn
Los Angeles,value,1628828,5.0,Golden West Manor Motel,84441,5.0,Economy Inn Motel,77157,4.6,Rodeway Inn & Suites Pacific Coast Highway,1439222,4.6,Jerry's Motel
Los Angeles,location,84441,5.0,Economy Inn Motel,271600,5.0,Crescent Motel,1782807,4.9,Hollywood Renaissance Suites,1858565,4.6,The Redbury
Los Angeles,sleep_quality,1563899,4.7,The Ritz-Carlton - Los Angeles,1628828,4.5,Golden West Manor Motel,2154898,4.4,Mr. C Beverly Hills,1100791,4.4,JW Marriott Hotel Los Angeles at L.A. LIVE
Los Angeles,rooms,84441,5.0,Economy Inn Motel,1858565,4.8,The Redbury,1563899,4.7,The Ritz-Carlton - Los Angeles,2154898,4.5,Mr. C Beverly Hills
Chicago,service,1200027,5.0,Steps to Everything - Navy Pier 31,674283,4.7,Trump International Hotel & Tower Chicago,1516481,4.7,Waldorf Astoria Chicago,1566945,4.7,Palomar Chicago - a Kimpton Hotel
